Sample;Lat;Long
B29233_B29233_B29233_B29233;-34.5528;150.7578
B29234_B29234_B29234_B29234;-34.5528;150.7578
B32190_B32190_B32190_B32190;-16.45;141.5833
B33619_B33619_B33619_B33619;-12.42;131.2242
B33707_B33707_B33707_B33707;-12.42;131.2242
B33735_B33735_B33735_B33735;-12.4167;131.2114
B34065_B34065_B34065_B34065;-33.7167;150.3167
B34084_B34084_B34084_B34084;-16.6167;145.3333
B34139_B34139_B34139_B34139;-35.2778;149.1083
B34631_B34631_B34631_B34631;-35.3333;149.15
B34682_B34682_B34682_B34682;-34.7307;146.6503
B34879_B34879_B34879_B34879;-30.9944;150.1378
B41528_B41528_B41528_B41528;-19.35;147.0167
B41529_B41529_B41529_B41529;-19.2833;147.0333
B42826_B42826_B42826_B42826;-27.8333;150.35
B42870_B42870_B42870_B42870;-16.85;145.7
B42871_B42871_B42871_B42871;-16.85;145.7
B42904_B42904_B42904_B42904;-13.7778;143.4833
B42961_B42961_B42961_B42961;-13.7;143.4528
B43003_B43003_B43003_B43003;-13.7806;143.5028
B43391_B43391_B43391_B43391;-28.1531;151.5594
B43392_B43392_B43392_B43392;-28.1531;151.5594
B43425_B43425_B43425_B43425;-24.3278;150.9417
B43561_B43561_B43561_B43561;-22.4528;150.3194
B43562_B43562_B43562_B43562;-22.4528;150.3194
B44275_B44275_B44275_B44275;-22.6492;150.4594
B44276_B44276_B44276_B44276;-22.6492;150.4594
B45009_B45009_B45009_B45009;-37.3044;143.5011
B45010_B45010_B45010_B45010;-37.3044;143.5011
B45033_B45033_B45033_B45033;-37.2681;143.3819
B45514_B45514_B45514_B45514;-41.7028;147.2922
B45515_B45515_B45515_B45515;-41.7028;147.2922
B45516_B45516_B45516_B45516;-41.7028;147.2922
B45517_B45517_B45517_B45517;-41.7028;147.2922
B48582_B48582_B48582_B48582;-11.7197;130.6733
B48686_B48686_B48686_B48686;-11.7692;130.89
B48687_B48687_B48687_B48687;-11.7692;130.89
B49784_B49784_B49784_B49784;-41.45;147.1667
B50845_B50845_B50845_B50845;-17.4086;124.2583
B51063_B51063_B51063_B51063;-15.6169;129.6272
B51658_B51658_B51658_B51658;-15.5558;141.7994
B51667_B51667_B51667_B51667;-15.4367;141.7181
B51669_B51669_B51669_B51669;-15.4367;141.7181
B51702_B51702_B51702_B51702;-15.4367;141.7181
B52820_B52820_B52820_B52820;-35.19;149.0532
B53100_B53100_B53100_B53100;-35.5638;149.8444
B53291_B53291_B53291_B53291;-35.2124;149.1117
B53583_B53583_B53583_B53583;-35.316;149.108
B53585_B53585_B53585_B53585;-35.3007;149.08
B53586_B53586_B53586_B53586;-35.312;149.1088
B53844_B53844_B53844_B53844;-36.7167;140.95
B53845_B53845_B53845_B53845;-36.7167;140.95
B53846_B53846_B53846_B53846;-35.2444;148.95
B53982_B53982_B53982_B53982;-35.40189;149.11794
B54527_B54527_B54527_B54527;-15.739;135.561
B54654_B54654_B54654_B54654;-14.686;134.374
B54657_B54657_B54657_B54657;-14.686;134.374
B54825_B54825_B54825_B54825;-33.3903;147.7933
B54826_B54826_B54826_B54826;-33.3903;147.7933
B54827_B54827_B54827_B54827;-33.3903;147.7933
B54828_B54828_B54828_B54828;-33.3903;147.7933
B54829_B54829_B54829_B54829;-33.2686;147.5253
B54875_B54875_B54875_B54875;-33.0741;146.7979
B54897_B54897_B54897_B54897;-34.5937;145.8465
B54898_B54898_B54898_B54898;-34.6305;146.3157
B54899_B54899_B54899_B54899;-34.6305;146.3157
B54900_B54900_B54900_B54900;-34.6305;146.3157
B56137_B56137_B56137_B56137;-8.85101;141.24799
B56138_B56138_B56138_B56138;-8.85101;141.24799
B56139_B56139_B56139_B56139;-8.85101;141.24799
B56304_B56304_B56304_B56304;-8.70698;141.548
B56946_B56946_B56946_B56946;-18.28999;143.47801
B56947_B56947_B56947_B56947;-18.28999;143.47801
B56960_B56960_B56960_B56960;-19.38454;145.81925
B57017_B57017_B57017_B57017;-12.68239;142.69685
B57146_B57146_B57146_B57146;-10.94071;142.44616
B57147_B57147_B57147_B57147;-10.94071;142.44616
B57328_B57328_B57328_B57328;-13.11881;142.35109
B57460_B57460_B57460_B57460;-14.1809;142.63632
B57461_B57461_B57461_B57461;-14.1809;142.63632
B59003_B59003_B59003_B59003;-35.2422;149.0673
B59123_B59123_B59123_B59123;-35.2384;149.0824
B59459_B59459_B59459_B59459;-35.2237;149.062
B59739_B59739_B59739_B59739;-35.2557;149.07
B60344_B60344_B60344_B60344;-15.68531;126.43686
B60420_B60420_B60420_B60420;-14.67116;125.73408
B60554_B60554_B60554_B60554;-14.22022;126.60165
B60739_B60739_B60739_B60739;-16.6384;145.4171
